epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.6928119659423828,0.6787555813789368,0.5,1.0,0.6666666666666666,3.0,0.0,0.0,0.0,3.0,0.3333333333333333,models/Envt_2_SUB_FR.jsonl.model_epoch_1,normal
2,0.6632063984870911,0.6561176776885986,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.6666666666666666,models/Envt_2_SUB_FR.jsonl.model_epoch_2,normal
3,0.6260843873023987,0.6188489198684692,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285,models/Envt_2_SUB_FR.jsonl.model_epoch_3,normal
