epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.14790920845161265,0.06513665222491209,0.9879518072289156,1.0,0.9939393939393939,410.0,0.0,0.0,0.0,5.0,0.49696969696969695,models/Event_4_SUB_FR.jsonl.model_epoch_1,normal
6,0.018615828697175648,0.04375263246206137,0.9927184466019418,0.9975609756097561,0.9951338199513382,410.0,0.6666666666666666,0.4,0.5,5.0,0.7475669099756691,models/Event_4_SUB_FR.jsonl.model_epoch_6,normal
7,0.006519037336917021,0.03794257058941115,0.9951338199513382,0.9975609756097561,0.9963459196102314,410.0,0.75,0.6,0.6666666666666666,5.0,0.831506293138449,models/Event_4_SUB_FR.jsonl.model_epoch_7,normal
5,0.009564338189263184,0.041938270679495945,0.9975550122249389,0.9951219512195122,0.9963369963369964,410.0,0.6666666666666666,0.8,0.7272727272727273,5.0,0.8618048618048618,models/Event_4_SUB_FR.jsonl.model_reinforced_epoch_5,reinforced
10,0.002302484318184165,0.0364700374171102,0.9975609756097561,0.9975609756097561,0.9975609756097561,410.0,0.8,0.8,0.8,5.0,0.8987804878048781,models/Event_4_SUB_FR.jsonl.model_reinforced_epoch_10,reinforced
