epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.5104305275848934,0.38589781522750854,0.8695652173913043,1.0,0.9302325581395349,20.0,0.0,0.0,0.0,3.0,0.46511627906976744,models/Eco_4_SUB_EN.jsonl.model_epoch_1,normal
6,0.09397969102220875,0.7170198559761047,0.8888888888888888,0.8,0.8421052631578947,20.0,0.2,0.3333333333333333,0.25,3.0,0.5460526315789473,models/Eco_4_SUB_EN.jsonl.model_epoch_6,normal
9,0.0026858087595818298,0.6354692578315735,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0,0.3333333333333333,0.5,3.0,0.7261904761904762,models/Eco_4_SUB_EN.jsonl.model_epoch_9,normal
