epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.4600970447063446,0.3438384085893631,0.8666666666666667,1.0,0.9285714285714286,39.0,0.0,0.0,0.0,6.0,0.4642857142857143,models/Pol_3_SUB_EN.jsonl.model_epoch_1,normal
2,0.23921975546649524,0.2709961235523224,0.9285714285714286,1.0,0.9629629629629629,39.0,1.0,0.5,0.6666666666666666,6.0,0.8148148148148148,models/Pol_3_SUB_EN.jsonl.model_epoch_2,normal
5,0.07618279069928187,0.341604083776474,1.0,0.8974358974358975,0.9459459459459459,39.0,0.6,1.0,0.75,6.0,0.847972972972973,models/Pol_3_SUB_EN.jsonl.model_epoch_5,normal
