epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.6379248797893524,0.6418890953063965,0.625,0.38461538461538464,0.47619047619047616,13.0,0.5789473684210527,0.7857142857142857,0.6666666666666666,14.0,0.5714285714285714,models/Sci_2_SUB_EN.jsonl.model_epoch_1,normal
2,0.3990948982536793,0.666617214679718,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0,0.6875,0.7857142857142857,0.7333333333333333,14.0,0.7,models/Sci_2_SUB_EN.jsonl.model_epoch_2,normal
3,0.159899546764791,0.7252756953239441,0.8333333333333334,0.7692307692307693,0.8,13.0,0.8,0.8571428571428571,0.8275862068965517,14.0,0.8137931034482759,models/Sci_2_SUB_EN.jsonl.model_epoch_3,normal
