media,Nombre d'articles
Toronto Star,2523
Globe and Mail,1588
Vancouver Sun,1456
Edmonton Journal,1179
Le Devoir,1026
National Post,1005
Calgary Herald,1003
Whitehorse Daily Star,970
Montreal Gazette,900
Chronicle Herald,866
The Telegram,706
Times Colonist,652
La Presse+,641
La Presse,596
Winnipeg Free Press,451
Acadie Nouvelle,420
Star Phoenix,342
Le Droit,332
Toronto Sun,262
Le Journal de Montréal,222
Total,17140
