epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.6593682595661708,0.5692119002342224,0.7619047619047619,0.9411764705882353,0.8421052631578947,17.0,0.5,0.16666666666666666,0.25,6.0,0.5460526315789473
2,0.5558064963136401,0.47749611735343933,0.7727272727272727,1.0,0.8717948717948718,17.0,1.0,0.16666666666666666,0.2857142857142857,6.0,0.5787545787545787
3,0.4422270485333034,0.5791962742805481,0.7727272727272727,1.0,0.8717948717948718,17.0,1.0,0.16666666666666666,0.2857142857142857,6.0,0.5787545787545787
4,0.28636397421360016,0.74171382188797,0.7727272727272727,1.0,0.8717948717948718,17.0,1.0,0.16666666666666666,0.2857142857142857,6.0,0.5787545787545787
5,0.19237942142145975,0.5835806131362915,0.875,0.8235294117647058,0.8484848484848485,17.0,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0,0.731934731934732
6,0.09859016484447888,0.7689552903175354,0.875,0.8235294117647058,0.8484848484848485,17.0,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0,0.731934731934732
7,0.03644041331218822,0.9542677402496338,0.7619047619047619,0.9411764705882353,0.8421052631578947,17.0,0.5,0.16666666666666666,0.25,6.0,0.5460526315789473
8,0.014378211261438472,1.1812516450881958,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
9,0.00667338163059737,1.3789104223251343,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
10,0.0034171537429626498,1.542351484298706,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
11,0.001120895122377468,1.6428073644638062,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
12,0.0007799783738196961,1.6971381902694702,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
13,0.0005220245428582919,1.731903076171875,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
14,0.00042688344339174885,1.7532402276992798,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
15,0.0003811019497723984,1.7694354057312012,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
16,0.0003670742984728089,1.7824441194534302,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
17,0.0003372479280057762,1.7927418947219849,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
18,0.00031567980269236226,1.7993512153625488,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
19,0.00030102405746999594,1.8030449151992798,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
20,0.00030259946860106926,1.804553508758545,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.5,0.5,0.5,6.0,0.6617647058823529
