epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.21422928323348364,0.14471580721437932,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686,models/Cult_Detection_FR.jsonl.model_epoch_1,normal
3,0.6145788120186847,1.554164218902588,1.0,0.05263157894736842,0.1,152.0,0.03355704697986577,1.0,0.06493506493506493,5.0,0.08246753246753247,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_3,reinforced
4,0.47825037914773694,1.3207555294036866,1.0,0.09868421052631579,0.17964071856287425,152.0,0.035211267605633804,1.0,0.06802721088435375,5.0,0.12383396472361399,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_4,reinforced
5,0.45198141103205475,0.9960075974464416,1.0,0.34210526315789475,0.5098039215686274,152.0,0.047619047619047616,1.0,0.09090909090909091,5.0,0.3003565062388592,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_5,reinforced
6,0.36894907640374225,0.47152009010314944,1.0,0.7894736842105263,0.8823529411764706,152.0,0.13513513513513514,1.0,0.23809523809523808,5.0,0.5602240896358543,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_6,reinforced
7,0.2609773440205533,0.2470710963010788,1.0,0.9342105263157895,0.9659863945578231,152.0,0.3333333333333333,1.0,0.5,5.0,0.7329931972789115,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_7,reinforced
8,0.1690762081871862,0.15464692264795304,1.0,0.9736842105263158,0.9866666666666667,152.0,0.5555555555555556,1.0,0.7142857142857143,5.0,0.8504761904761905,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_8,reinforced
10,0.10684183725844258,0.10224381536245346,1.0,0.9802631578947368,0.9900332225913622,152.0,0.625,1.0,0.7692307692307693,5.0,0.8796319959110657,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_10,reinforced
12,0.08218048512935638,0.07781893014907837,0.993421052631579,0.993421052631579,0.993421052631579,152.0,0.8,0.8,0.8,5.0,0.8967105263157895,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_12,reinforced
13,0.06894463316901871,0.07648221999406815,1.0,0.9868421052631579,0.9933774834437086,152.0,0.7142857142857143,1.0,0.8333333333333334,5.0,0.9133554083885209,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_13,reinforced
