epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.33465673592355516,0.2528236538171768,0.9504950495049505,0.9411764705882353,0.9458128078817734,102.0,0.8909090909090909,0.9074074074074074,0.8990825688073395,54.0,0.9224476883445565,models/Location_Detection_FR.jsonl.model_epoch_1,normal
2,0.19750126997629802,0.2036363586783409,0.9895833333333334,0.9313725490196079,0.9595959595959596,102.0,0.8833333333333333,0.9814814814814815,0.9298245614035088,54.0,0.9447102604997342,models/Location_Detection_FR.jsonl.model_epoch_2,normal
3,0.16582698706123564,0.14937583319842815,1.0,0.9509803921568627,0.9748743718592965,102.0,0.9152542372881356,1.0,0.9557522123893806,54.0,0.9653132921243386,models/Location_Detection_FR.jsonl.model_epoch_3,normal
12,0.003220522214865519,0.1755097011104226,1.0,0.9607843137254902,0.98,102.0,0.9310344827586207,1.0,0.9642857142857143,54.0,0.9721428571428572,models/Location_Detection_FR.jsonl.model_epoch_12,normal
