epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.5940617769956589,0.49080295860767365,0.717948717948718,1.0,0.835820895522388,28.0,0.0,0.0,0.0,11.0,0.417910447761194,models/Event_2_SUB_FR.jsonl.model_epoch_1,normal
2,0.3980118843416373,0.21517907828092575,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0,0.9366883116883117,models/Event_2_SUB_FR.jsonl.model_epoch_2,normal
3,0.19780557913084826,0.10787129029631615,1.0,0.9642857142857143,0.9818181818181818,28.0,0.9166666666666666,1.0,0.9565217391304348,11.0,0.9691699604743083,models/Event_2_SUB_FR.jsonl.model_epoch_3,normal
