epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.5755725995852397,0.4693851081224588,0.8282442748091603,0.8443579766536965,0.8362235067437379,257.0,0.738562091503268,0.7151898734177216,0.7266881028938906,158.0,0.7814558048188143,models/Emotion:_Negative_FR.jsonl.model_epoch_1,normal
2,0.38072661912212,0.543625506070944,0.875,0.7354085603112841,0.7991543340380549,257.0,0.6582914572864321,0.8291139240506329,0.7338935574229691,158.0,0.766523945730512,models/Emotion:_Negative_FR.jsonl.model_epoch_2,normal
3,0.25659423565062195,0.565894576219412,0.8489795918367347,0.8093385214007782,0.8286852589641435,257.0,0.711764705882353,0.7658227848101266,0.7378048780487805,158.0,0.783245068506462,models/Emotion:_Negative_FR.jsonl.model_epoch_3,normal
7,0.08087591169616924,0.9706701086117671,0.8952380952380953,0.7315175097276264,0.8051391862955032,257.0,0.6634146341463415,0.8607594936708861,0.7493112947658402,158.0,0.7772252405306717,models/Emotion:_Negative_FR.jsonl.model_epoch_7,normal
8,0.045606974413833365,0.9502204839999859,0.8873873873873874,0.7665369649805448,0.8225469728601252,257.0,0.689119170984456,0.8417721518987342,0.7578347578347578,158.0,0.7901908653474415,models/Emotion:_Negative_FR.jsonl.model_epoch_8,normal
10,0.023747336200008597,0.9748692902234884,0.8677685950413223,0.8171206225680934,0.8416833667334669,257.0,0.7283236994219653,0.7974683544303798,0.7613293051359517,158.0,0.8015063359347092,models/Emotion:_Negative_FR.jsonl.model_epoch_10,normal
16,0.016048713016341656,1.1323813452170446,0.8713692946058091,0.8171206225680934,0.8433734939759037,257.0,0.7298850574712644,0.8037974683544303,0.7650602409638554,158.0,0.8042168674698795,models/Emotion:_Negative_FR.jsonl.model_epoch_16,normal
