epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.1647428811280703,0.15550183698248404,0.9689119170984456,1.0,0.9842105263157894,374.0,0.0,0.0,0.0,12.0,0.4921052631578947,models/Secu_Detection_EN.jsonl.model_epoch_1,normal
2,0.09158872173652433,0.097761964568725,0.9816272965879265,1.0,0.990728476821192,374.0,1.0,0.4166666666666667,0.5882352941176471,12.0,0.7894818854694196,models/Secu_Detection_EN.jsonl.model_epoch_2,normal
3,0.06412925472725373,0.0695368716484294,0.9893617021276596,0.9946524064171123,0.992,374.0,0.8,0.6666666666666666,0.7272727272727273,12.0,0.8596363636363636,models/Secu_Detection_EN.jsonl.model_epoch_3,normal
4,0.04117512275709542,0.05750490284900969,0.9920424403183024,1.0,0.996005326231691,374.0,1.0,0.75,0.8571428571428571,12.0,0.926574091687274,models/Secu_Detection_EN.jsonl.model_epoch_4,normal
9,0.004238111688042705,0.04699209664025917,0.9946666666666667,0.9973262032085561,0.9959946595460614,374.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.9327799384686828,models/Secu_Detection_EN.jsonl.model_epoch_9,normal
