epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.2197397224491044,0.1681877995053163,0.961139896373057,1.0,0.9801849405548216,371.0,0.0,0.0,0.0,15.0,0.4900924702774108,models/Solutions_2_SUB_EN.jsonl.model_epoch_1,normal
5,0.17246241549181998,0.15444430250387925,0.9636363636363636,1.0,0.9814814814814815,371.0,1.0,0.06666666666666667,0.125,15.0,0.5532407407407407,models/Solutions_2_SUB_EN.jsonl.model_epoch_5,normal
6,0.12189916823990643,0.11447667301847385,0.9686684073107049,1.0,0.9840848806366048,371.0,1.0,0.2,0.3333333333333333,15.0,0.6587091069849691,models/Solutions_2_SUB_EN.jsonl.model_epoch_6,normal
7,0.05987370166718504,0.13548598570140222,0.9761904761904762,0.9946091644204852,0.9853137516688919,371.0,0.75,0.4,0.5217391304347826,15.0,0.7535264410518372,models/Solutions_2_SUB_EN.jsonl.model_epoch_7,normal
8,0.03240221154719249,0.1251785741232407,0.9839142091152815,0.9892183288409704,0.9865591397849462,371.0,0.6923076923076923,0.6,0.6428571428571429,15.0,0.8147081413210446,models/Solutions_2_SUB_EN.jsonl.model_epoch_8,normal
9,0.011993414424217249,0.12685778330510053,0.9814814814814815,1.0,0.9906542056074766,371.0,1.0,0.5333333333333333,0.6956521739130435,15.0,0.84315318976026,models/Solutions_2_SUB_EN.jsonl.model_epoch_9,normal
