epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
1,0.3808070412940449,0.3308391869068146,0.8974358974358975,1.0,0.9459459459459459,140.0,0.0,0.0,0.0,16.0,0.47297297297297297,models/Emotion:_Positive_FR.jsonl.model_epoch_1,normal
3,0.32489625579781,0.2546474814414978,0.9032258064516129,1.0,0.9491525423728814,140.0,1.0,0.0625,0.11764705882352941,16.0,0.5333998005982054,models/Emotion:_Positive_FR.jsonl.model_epoch_3,normal
4,0.21955608568257756,0.23964482247829438,0.9324324324324325,0.9857142857142858,0.9583333333333334,140.0,0.75,0.375,0.5,16.0,0.7291666666666667,models/Emotion:_Positive_FR.jsonl.model_epoch_4,normal
6,0.07656300303836663,0.23445334136486054,0.958041958041958,0.9785714285714285,0.9681978798586572,140.0,0.7692307692307693,0.625,0.6896551724137931,16.0,0.8289265261362252,models/Emotion:_Positive_FR.jsonl.model_epoch_6,normal
