epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.16637735044502694,0.29597708880901336,0.9562043795620438,0.9357142857142857,0.9458483754512635,140.0,0.5263157894736842,0.625,0.5714285714285714,16.0,0.7586384734399174
2,0.08470951401345107,0.24701161086559295,0.951048951048951,0.9714285714285714,0.9611307420494699,140.0,0.6923076923076923,0.5625,0.6206896551724138,16.0,0.7909101986109419
3,0.05549762272478446,0.2532306402921677,0.9448275862068966,0.9785714285714285,0.9614035087719298,140.0,0.7272727272727273,0.5,0.5925925925925926,16.0,0.7769980506822611
4,0.04214524088994316,0.2868125408887863,0.9440559440559441,0.9642857142857143,0.9540636042402827,140.0,0.6153846153846154,0.5,0.5517241379310345,16.0,0.7528938710856585
5,0.021507423452061157,0.2947720676660538,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
6,0.012698770743673262,0.30838391184806824,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
7,0.015801609696253487,0.3186006546020508,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
8,0.01104163090981867,0.3245495826005936,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
9,0.015438950782560783,0.3206691414117813,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
10,0.007682347386751486,0.33542537689208984,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
11,0.008213493082186451,0.3338753581047058,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
12,0.006708711385726929,0.3480485439300537,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
13,0.006763456591769405,0.34100943207740786,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
14,0.006057578483191522,0.33524627089500425,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
15,0.005559331190812847,0.33864839673042296,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
16,0.00989864394068718,0.3447106420993805,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
17,0.005168889244289502,0.3496625781059265,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
18,0.005059855605435112,0.3524134159088135,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
19,0.004992007014706083,0.3531398892402649,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
20,0.00489792800710901,0.35313915014266967,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0,0.6666666666666666,0.5,0.5714285714285714,16.0,0.7645875251509053
