model_name,best_epoch,score,macro_f1,weighted_f1,test_loss,train_loss,class_1_precision,class_1_recall,class_1_f1_score,class_1_support,class_0_support,train_class_0_count,train_class_1_count,test_class_0_count,test_class_1_count
Emotion:_Neutral_EN.jsonl,1,1.4380000000000002,0.48,0.47,0.7,0.69,0.53,0.33,0.41,76.0,66.0,599,686,66,76
Eco_2_SUB_EN.jsonl,4,0.482,0.49,0.94,0.14,0.17,0.0,0.0,0.0,1.0,22.0,205,14,22,1
Pol_1_SUB_EN.jsonl,4,1.622,0.66,0.85,0.4,0.4,0.5,0.33,0.4,6.0,39.0,355,62,39,6
Event_1_SUB_FR.jsonl,5,3.3560000000000003,0.86,0.92,0.13,0.11,0.71,0.83,0.77,6.0,32.0,297,59,32,6
Eco_Detection_EN.jsonl,2,3.0180000000000002,0.75,0.84,0.23,0.27,0.5,0.75,0.6,24.0,118.0,1067,218,118,24
Messenger_6_SUB_EN.jsonl,5,3.29,0.81,0.9,0.45,0.01,0.6,0.82,0.69,11.0,61.0,550,107,61,11
Messenger_3_SUB_FR.jsonl,11,3.896,0.83,0.99,0.02,0.03,0.5,1.0,0.67,1.0,80.0,726,10,80,1
Emotion:_Negative_FR.jsonl,2,3.0580000000000003,0.78,0.79,0.47,0.46,0.7,0.76,0.73,59.0,97.0,880,537,97,59
Event_4_SUB_EN.jsonl,7,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,31.0,283,16,31,1
Pol_4_SUB_FR.jsonl,9,4.0,1.0,1.0,0.01,0.04,1.0,1.0,1.0,2.0,46.0,420,20,46,2
Messenger_9_SUB_EN.jsonl,1,3.3660000000000005,0.64,0.67,0.54,0.51,0.41,0.89,0.56,18.0,54.0,486,171,54,18
Just_2_SUB_FR.jsonl,1,3.4640000000000004,0.33,0.33,0.69,0.7,0.5,1.0,0.67,4.0,4.0,41,41,4,4
Just_4_SUB_EN.jsonl,2,0.4,0.44,0.68,0.53,0.55,0.0,0.0,0.0,2.0,7.0,69,21,7,2
Pbh_3_SUB_EN.jsonl,7,0.42200000000000004,0.45,0.76,0.45,0.3,0.0,0.0,0.0,1.0,5.0,49,8,5,1
Pol_2_SUB_EN.jsonl,6,3.702,0.57,0.8,0.46,0.35,0.84,1.0,0.92,38.0,8.0,72,344,8,38
