label,language,TP,FP,FN,precision,recall,f1,gold_count,predicted_count
Cult_4_SUB,ALL,1,3,4,0.2500,0.2000,0.2222,5,4
Secu_4_SUB,FR,0,0,16,0.0000,0.0000,0.0000,16,0
Pol_4_SUB,EN,1,1,3,0.5000,0.2500,0.3333,4,2
Messenger_7_SUB,EN,11,5,12,0.6875,0.4783,0.5641,23,16
Sci_4_SUB,EN,8,3,5,0.7273,0.6154,0.6667,13,11
Sci_4_SUB,ALL,8,3,7,0.7273,0.5333,0.6154,15,11
Just_3_SUB,EN,4,4,14,0.5000,0.2222,0.3077,18,8
Event_4_SUB,FR,3,0,2,1.0000,0.6000,0.7500,5,3
Messenger_3_SUB,EN,1,6,2,0.1429,0.3333,0.2000,3,7
Cult_3_SUB,FR,0,0,3,0.0000,0.0000,0.0000,3,0
Sci_3_SUB,EN,4,5,0,0.4444,1.0000,0.6154,4,9
Just_5_SUB,FR,0,0,5,0.0000,0.0000,0.0000,5,0
Pbh_3_SUB,FR,0,0,2,0.0000,0.0000,0.0000,2,0
Pbh_3_SUB,ALL,0,0,3,0.0000,0.0000,0.0000,3,0
Eco_2_SUB,FR,0,0,3,0.0000,0.0000,0.0000,3,0
Messenger_4_SUB,EN,2,1,3,0.6667,0.4000,0.5000,5,3
Cult_4_SUB,FR,0,0,2,0.0000,0.0000,0.0000,2,0
Sci_4_SUB,FR,0,0,2,0.0000,0.0000,0.0000,2,0
Pbh_3_SUB,EN,0,0,1,0.0000,0.0000,0.0000,1,0
Secu_2_SUB,FR,0,0,2,0.0000,0.0000,0.0000,2,0
Secu_2_SUB,ALL,0,0,2,0.0000,0.0000,0.0000,2,0
Secu_1_SUB,FR,0,0,2,0.0000,0.0000,0.0000,2,0
Secu_1_SUB,ALL,0,0,2,0.0000,0.0000,0.0000,2,0
