number,category,code,language,technical_label,reinforcement_triggered,n_epochs_normal_executed,n_epochs_reinforced_executed,best_epoch,best_training_phase,best_train_loss,best_val_loss,best_precision_0,best_recall_0,best_f1_0,support_0,best_precision_1,best_recall_1,best_f1_1,support_1,best_macro_f1,saved_model_path,model_artifact_mtime_utc
23,Political debate,pol_debate,FR,Pol_2_SUB,False,20,,4,normal,0.2544693563665662,0.2329218760132789,0.6666666666666666,0.5,0.5714285714285714,4,0.9545454545454546,0.9767441860465116,0.9655172413793104,43,0.7684729064039408,models/Pol_2_SUB_FR.jsonl.model_epoch_4,2025-05-02T08:10:49+00:00
24,Political positioning,pol_position,EN,Pol_3_SUB,False,20,,5,normal,0.0761827906992818,0.341604083776474,1.0,0.8974358974358975,0.945945945945946,39,0.6,1.0,0.75,6,0.847972972972973,models/Pol_3_SUB_EN.jsonl.model_epoch_5,2025-05-02T08:12:58+00:00
24,Political positioning,pol_position,FR,Pol_3_SUB,False,20,,4,normal,0.2159229394580636,0.1908692009747028,0.9782608695652174,1.0,0.989010989010989,45,1.0,0.6666666666666666,0.8,3,0.8945054945054945,models/Pol_3_SUB_FR.jsonl.model_epoch_4,2025-05-02T08:14:25+00:00
25,Public opinion data,pol_opinion,EN,Pol_4_SUB,False,20,,4,normal,0.0267373886106687,0.0207049136426156,0.9973753280839897,1.0,0.9986859395532196,380,1.0,0.8333333333333334,0.9090909090909092,6,0.9538884243220642,models/Pol_4_SUB_EN.jsonl.model_epoch_4,2025-05-02T08:17:02+00:00
25,Public opinion data,pol_opinion,FR,Pol_4_SUB,False,20,,12,normal,0.018611956820158,0.0061119038145989,1.0,1.0,1.0,46,1.0,1.0,1.0,2,1.0,models/Pol_4_SUB_FR.jsonl.model_epoch_12,2025-05-02T08:29:08+00:00
26,Scientific Frame (Primary Category),scientific_frame,EN,Sci_Detection,False,20,,3,normal,0.055253665096399,0.2877574087586254,0.940677966101695,0.9652173913043478,0.9527896995708156,115,0.8333333333333334,0.7407407407407407,0.7843137254901961,27,0.8685517125305058,models/Sci_Detection_EN.jsonl.model_epoch_3,2025-05-02T10:29:28+00:00
26,Scientific Frame (Primary Category),scientific_frame,FR,Sci_Detection,False,20,,5,normal,0.0936365915784755,0.314962265224984,0.9389920424403184,0.9860724233983288,0.9619565217391304,359,0.868421052631579,0.5892857142857143,0.7021276595744681,56,0.8320420906567993,models/Sci_Detection_FR.jsonl.model_epoch_5,2025-05-02T10:37:33+00:00
27,Scientific debate,sci_debate,EN,Sci_1_SUB,False,20,,5,normal,0.2082031788304448,0.5295658111572266,0.8235294117647058,0.875,0.8484848484848485,16,0.7777777777777778,0.7,0.7368421052631579,10,0.7926634768740032,models/Sci_1_SUB_EN.jsonl.model_epoch_5,2025-05-02T09:49:26+00:00
27,Scientific debate,sci_debate,FR,Sci_1_SUB,True,20,20.0,7,normal,0.1891879774630069,0.537969708442688,0.8235294117647058,0.9333333333333332,0.875,15,0.6666666666666666,0.4,0.5,5,0.6875,models/Sci_1_SUB_FR.jsonl.model_epoch_7,2025-05-02T09:52:05+00:00
28,Popularisation or scientific discovery,sci_discovery,EN,Sci_2_SUB,False,20,,3,normal,0.159899546764791,0.7252756953239441,0.8333333333333334,0.7692307692307693,0.8,13,0.8,0.8571428571428571,0.8275862068965517,14,0.8137931034482759,models/Sci_2_SUB_EN.jsonl.model_epoch_3,2025-05-02T09:55:23+00:00
28,Popularisation or scientific discovery,sci_discovery,FR,Sci_2_SUB,False,20,,6,normal,0.2541217530767123,0.3269717097282409,0.75,0.75,0.75,4,0.9375,0.9375,0.9375,16,0.84375,models/Sci_2_SUB_FR.jsonl.model_epoch_6,2025-05-02T09:58:09+00:00
29,Questioning of climate science,sci_skepticism,EN,Sci_3_SUB,True,20,20.0,3,reinforced,0.0018456884718034,0.5624603629112244,0.95,0.9047619047619048,0.926829268292683,21,0.6666666666666666,0.8,0.7272727272727273,5,0.8270509977827052,models/Sci_3_SUB_EN.jsonl.model_reinforced_epoch_3,2025-05-02T10:03:04+00:00
29,Questioning of climate science,sci_skepticism,FR,Sci_3_SUB,True,20,20.0,5,reinforced,0.1923020198368109,0.1266848656993646,0.9927360774818402,0.9975669099756692,0.9951456310679612,411,0.5,0.25,0.3333333333333333,4,0.6642394822006472,models/Sci_3_SUB_FR.jsonl.model_reinforced_epoch_5,2025-05-02T10:18:31+00:00
30,Defense of climate science,sci_defense,EN,Sci_4_SUB,True,20,20.0,6,normal,0.0492359611671417,0.4368763566017151,0.9130434782608696,0.9545454545454546,0.9333333333333332,22,0.6666666666666666,0.5,0.5714285714285714,4,0.7523809523809524,models/Sci_4_SUB_EN.jsonl.model_epoch_6,2025-05-02T10:25:52+00:00
30,Defense of climate science,sci_defense,FR,Sci_4_SUB,True,20,20.0,1,normal,0.5779297252496084,0.4507007598876953,0.85,1.0,0.918918918918919,17,0.0,0.0,0.0,3,0.4594594594594595,models/Sci_4_SUB_FR.jsonl.model_epoch_1,2025-05-02T10:28:15+00:00
31,Environmental Frame (Primary Category),environmental_frame,EN,Envt_Detection,False,20,,7,normal,0.0012602189576349,0.1160171208903193,0.9924242424242424,0.9849624060150376,0.9886792452830188,133,0.8,0.8888888888888888,0.8421052631578947,9,0.9153922542204568,models/Envt_Detection_EN.jsonl.model_epoch_7,2025-05-01T20:11:21+00:00
31,Environmental Frame (Primary Category),environmental_frame,FR,Envt_Detection,True,20,20.0,13,reinforced,0.1249010747541552,0.2010935336351394,0.9931506849315068,0.9666666666666668,0.9797297297297296,150,0.5,0.8333333333333334,0.625,6,0.8023648648648649,models/Envt_Detection_FR.jsonl.model_reinforced_epoch_13,2025-05-01T20:24:35+00:00
32,Loss of natural environments,env_habitat,EN,Envt_1_SUB,False,20,,7,normal,0.2746048271656036,0.2233087867498397,1.0,1.0,1.0,3,1.0,1.0,1.0,5,1.0,models/Envt_1_SUB_EN.jsonl.model_epoch_7,2025-05-01T20:08:04+00:00
32,Loss of natural environments,env_habitat,FR,Envt_1_SUB,False,20,,5,normal,0.6098373234272003,0.6276351809501648,1.0,0.6666666666666666,0.8,3,0.75,1.0,0.8571428571428571,3,0.8285714285714285,models/Envt_1_SUB_FR.jsonl.model_epoch_5,2025-05-01T20:08:27+00:00
33,Loss of fauna and flora,env_species,EN,Envt_2_SUB,False,20,,5,normal,0.319221834341685,0.4247969388961792,1.0,0.75,0.8571428571428571,4,0.8,1.0,0.8888888888888888,4,0.873015873015873,models/Envt_2_SUB_EN.jsonl.model_epoch_5,2025-05-01T20:08:53+00:00
33,Loss of fauna and flora,env_species,FR,Envt_2_SUB,False,20,,3,normal,0.6260843873023987,0.6188489198684692,1.0,0.6666666666666666,0.8,3,0.75,1.0,0.8571428571428571,3,0.8285714285714285,models/Envt_2_SUB_FR.jsonl.model_epoch_3,2025-05-01T20:09:16+00:00
34,Cultural Frame (Primary Category),cultural_frame,EN,Cult_Detection,False,20,,7,normal,0.0003361289584842,0.1512601824372093,0.9808743169398908,0.9917127071823204,0.9862637362637364,362,0.85,0.7083333333333334,0.7727272727272727,24,0.8794955044955045,models/Cult_Detection_EN.jsonl.model_epoch_7,2025-05-01T13:50:21+00:00
34,Cultural Frame (Primary Category),cultural_frame,FR,Cult_Detection,True,20,20.0,13,reinforced,0.0689446331690187,0.0764822199940681,1.0,0.986842105263158,0.9933774834437086,152,0.7142857142857143,1.0,0.8333333333333334,5,0.9133554083885208,models/Cult_Detection_FR.jsonl.model_reinforced_epoch_13,2025-05-01T14:05:12+00:00
35,Artistic representation,cult_art,EN,Cult_1_SUB,False,20,,2,normal,0.6449404358863831,0.6324344873428345,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,models/Cult_1_SUB_EN.jsonl.model_epoch_2,2025-05-01T13:11:40+00:00
35,Artistic representation,cult_art,FR,Cult_1_SUB,False,20,,7,normal,0.4625806808471679,0.4984166622161865,1.0,1.0,1.0,3,1.0,1.0,1.0,2,1.0,models/Cult_1_SUB_FR.jsonl.model_epoch_7,2025-05-01T13:11:54+00:00
36,Difficulty to host cultural or sports events,cult_event_impact,EN,Cult_2_SUB,False,20,,18,normal,1.5543543631050556e-05,0.0859631144954759,0.9973404255319148,0.9894459102902374,0.9933774834437086,379,0.6,0.8571428571428571,0.7058823529411765,7,0.8496299181924425,models/Cult_2_SUB_EN.jsonl.model_epoch_18,2025-05-01T13:17:45+00:00
36,Difficulty to host cultural or sports events,cult_event_impact,FR,Cult_2_SUB,False,20,,4,normal,0.6006398797035217,0.6257123947143555,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,models/Cult_2_SUB_FR.jsonl.model_epoch_4,2025-05-01T13:18:27+00:00
37,Loss of indigenous practices,cult_indigenous,EN,Cult_3_SUB,False,20,,6,normal,0.2260275930166244,0.2217707931995391,1.0,1.0,1.0,3,1.0,1.0,1.0,1,1.0,models/Cult_3_SUB_EN.jsonl.model_epoch_6,2025-05-01T13:18:38+00:00
37,Loss of indigenous practices,cult_indigenous,FR,Cult_3_SUB,True,20,20.0,3,reinforced,0.9401176182123332,0.4651272961726555,0.9970501474926252,0.8184019370460048,0.898936170212766,413,0.0131578947368421,0.5,0.0256410256410256,2,0.4622885979268958,models/Cult_3_SUB_FR.jsonl.model_reinforced_epoch_3,2025-05-01T13:25:30+00:00
38,Carbon footprint of the cultural and sports sectors,cult_footprint,EN,Cult_4_SUB,False,20,,7,normal,0.000246024292915,0.0011809078776143,1.0,1.0,1.0,385,1.0,1.0,1.0,1,1.0,models/Cult_4_SUB_EN.jsonl.model_epoch_7,2025-05-01T13:32:27+00:00
38,Carbon footprint of the cultural and sports sectors,cult_footprint,FR,Cult_4_SUB,True,20,20.0,3,reinforced,0.6187866043585998,1.2681085696587195,1.0,0.0772946859903381,0.1434977578475336,414,0.0026109660574412,1.0,0.0052083333333333,1,0.0743530455904334,models/Cult_4_SUB_FR.jsonl.model_reinforced_epoch_3,2025-05-01T13:43:24+00:00
39,Presence of Messengers (Primary Category),messenger,EN,Messenger_Detection,False,20,,11,normal,0.0005525331873242,0.5727148085832596,0.9242424242424242,0.8840579710144928,0.9037037037037036,69,0.8933333333333333,0.9305555555555556,0.91156462585034,72,0.907634164777022,models/Messenger_Detection_EN.jsonl.model_epoch_11,2025-05-02T06:11:01+00:00
39,Presence of Messengers (Primary Category),messenger,FR,Messenger_Detection,False,20,,6,normal,0.0494717701803892,0.3859428071703475,0.9105263157894736,0.9202127659574468,0.9153439153439152,188,0.9333333333333332,0.9251101321585904,0.9292035398230089,227,0.922273727583462,models/Messenger_Detection_FR.jsonl.model_epoch_6,2025-05-02T06:21:04+00:00
40,Health expert,msg_health,EN,Messenger_1_SUB,True,20,20.0,9,reinforced,0.0016722869873046,0.0358470689478473,1.0,0.9947368421052633,0.9973614775725592,380,0.75,1.0,0.8571428571428571,6,0.9272521673577082,models/Messenger_1_SUB_EN.jsonl.model_reinforced_epoch_9,2025-05-02T02:20:11+00:00
40,Health expert,msg_health,FR,Messenger_1_SUB,False,20,,8,normal,0.0082566476731489,0.0132598188849022,0.997560975609756,1.0,0.9987789987789988,409,1.0,0.8333333333333334,0.9090909090909092,6,0.953934953934954,models/Messenger_1_SUB_FR.jsonl.model_epoch_8,2025-05-02T02:33:26+00:00
41,Economic expert,msg_economic,EN,Messenger_2_SUB,True,20,20.0,4,normal,0.0751246086853955,0.1999946354577938,0.9558823529411764,0.9848484848484848,0.9701492537313432,66,0.75,0.5,0.6,6,0.7850746268656716,models/Messenger_2_SUB_EN.jsonl.model_epoch_4,2025-05-02T02:43:38+00:00
41,Economic expert,msg_economic,FR,Messenger_2_SUB,True,20,20.0,3,reinforced,0.011142780422233,0.2615392605463664,0.9861111111111112,0.9594594594594594,0.9726027397260274,74,0.6666666666666666,0.8571428571428571,0.75,7,0.8613013698630136,models/Messenger_2_SUB_FR.jsonl.model_reinforced_epoch_3,2025-05-02T03:01:47+00:00
42,Security expert,msg_security,EN,Messenger_3_SUB,True,20,6.0,8,normal,0.005645772960547,0.1008520027195724,0.9863013698630136,1.0,0.993103448275862,72,1.0,0.5,0.6666666666666666,2,0.8298850574712644,models/Messenger_3_SUB_EN.jsonl.model_epoch_8,2025-06-02T23:19:04.681895+00:00
42,Security expert,msg_security,FR,Messenger_3_SUB,False,20,,9,normal,0.0321027678639992,0.008311017571638,1.0,1.0,1.0,80,1.0,1.0,1.0,1,1.0,models/Messenger_3_SUB_FR.jsonl.model_epoch_9,2025-05-02T03:17:14+00:00
43,Legal expert,msg_legal,EN,Messenger_4_SUB,True,20,20.0,4,normal,0.0034363347415132,0.0240209676043237,0.9974025974025974,1.0,0.9986996098829648,384,1.0,0.5,0.6666666666666666,2,0.8326831382748158,models/Messenger_4_SUB_EN.jsonl.model_epoch_4,2025-05-02T03:23:59+00:00
43,Legal expert,msg_legal,FR,Messenger_4_SUB,False,20,,11,normal,0.004165567318873,0.0285155546690265,0.9975490196078431,0.9951100244498776,0.996328029375765,409,0.7142857142857143,0.8333333333333334,0.7692307692307693,6,0.8827793993032671,models/Messenger_4_SUB_FR.jsonl.model_epoch_11,2025-05-02T03:55:44+00:00
44,Cultural or Sport expert,msg_cultural,EN,Messenger_5_SUB,False,20,,3,normal,0.0146171444683291,0.0106945323447386,1.0,1.0,1.0,71,1.0,1.0,1.0,1,1.0,models/Messenger_5_SUB_EN.jsonl.model_epoch_3,2025-05-02T04:03:29+00:00
44,Cultural or Sport expert,msg_cultural,FR,Messenger_5_SUB,True,20,20.0,3,reinforced,0.0094779963390185,0.1040991431979749,0.9901477832512317,0.9901477832512317,0.9901477832512317,406,0.5555555555555556,0.5555555555555556,0.5555555555555556,9,0.7728516694033936,models/Messenger_5_SUB_FR.jsonl.model_reinforced_epoch_3,2025-05-02T04:25:32+00:00
45,Natural scientist,msg_scientist,EN,Messenger_6_SUB,False,20,,8,normal,0.0132564945824738,0.2133963285708047,0.9798270893371758,0.9742120343839542,0.9770114942528736,349,0.7692307692307693,0.8108108108108109,0.7894736842105263,37,0.8832425892317,models/Messenger_6_SUB_EN.jsonl.model_epoch_8,2025-05-02T04:40:10+00:00
45,Natural scientist,msg_scientist,FR,Messenger_6_SUB,False,20,,8,normal,0.0516309708279247,0.3361393334344029,0.9705882352941176,0.9705882352941176,0.9705882352941176,68,0.8333333333333334,0.8333333333333334,0.8333333333333334,12,0.9019607843137256,models/Messenger_6_SUB_FR.jsonl.model_epoch_8,2025-05-02T04:51:36+00:00
46,Social scientist,msg_social,EN,Messenger_7_SUB,False,20,,7,normal,0.0009880746341766,0.0587302537264454,0.9947368421052633,0.9973614775725592,0.9960474308300395,379,0.8333333333333334,0.7142857142857143,0.7692307692307693,7,0.8826391000304044,models/Messenger_7_SUB_EN.jsonl.model_epoch_7,2025-05-02T05:01:05+00:00
46,Social scientist,msg_social,FR,Messenger_7_SUB,True,20,20.0,16,reinforced,0.0104638935120489,0.1323676463037442,0.9949494949494948,0.977667493796526,0.986232790988736,403,0.5263157894736842,0.8333333333333334,0.6451612903225806,12,0.8156970406556583,models/Messenger_7_SUB_FR.jsonl.model_reinforced_epoch_16,2025-05-02T05:30:52+00:00
47,Activist,msg_activist,EN,Messenger_8_SUB,True,20,20.0,5,normal,0.0656067799732443,0.3582576860984166,0.9571428571428572,1.0,0.978102189781022,67,1.0,0.4,0.5714285714285714,5,0.7747653806047967,models/Messenger_8_SUB_EN.jsonl.model_epoch_5,2025-05-02T05:34:51+00:00
47,Activist,msg_activist,FR,Messenger_8_SUB,False,20,,5,normal,0.1219557494572971,0.0343406287332375,1.0,1.0,1.0,75,1.0,1.0,1.0,6,1.0,models/Messenger_8_SUB_FR.jsonl.model_epoch_5,2025-05-02T05:45:25+00:00
48,Public official,msg_official,EN,Messenger_9_SUB,False,20,,4,normal,0.0379715587034644,1.0213162501653037,0.9056603773584906,0.8888888888888888,0.897196261682243,54,0.6842105263157895,0.7222222222222222,0.7027027027027027,18,0.7999494821924729,models/Messenger_9_SUB_EN.jsonl.model_epoch_4,2025-05-02T05:52:18+00:00
48,Public official,msg_official,FR,Messenger_9_SUB,False,20,,10,normal,0.0080162022445026,0.194985965732485,1.0,0.9298245614035088,0.9636363636363636,57,0.8571428571428571,1.0,0.9230769230769232,24,0.9433566433566434,models/Messenger_9_SUB_FR.jsonl.model_epoch_10,2025-05-02T06:01:10+00:00
49,Presence of Events (Primary Category),event,EN,Event_Detection,False,20,,11,normal,0.0050337899056768,0.7484628319740295,0.9439252336448598,0.926605504587156,0.9351851851851852,109,0.7714285714285715,0.8181818181818182,0.7941176470588235,33,0.8646514161220044,models/Event_Detection_EN.jsonl.model_epoch_11,2025-05-01T22:48:57+00:00
49,Presence of Events (Primary Category),event,FR,Event_Detection,False,20,,10,normal,0.01872696722589,0.5463445450250919,0.9335548172757476,0.9304635761589404,0.9320066334991708,302,0.8157894736842105,0.8230088495575221,0.8193832599118943,113,0.8756949467055326,models/Event_Detection_FR.jsonl.model_epoch_10,2025-05-01T23:01:54+00:00
50,Extreme meteorological event,evt_weather,EN,Event_1_SUB,False,20,,3,normal,0.1070186883211135,0.0551430061459541,1.0,1.0,1.0,25,1.0,1.0,1.0,8,1.0,models/Event_1_SUB_EN.jsonl.model_epoch_3,2025-05-01T20:28:22+00:00
50,Extreme meteorological event,evt_weather,FR,Event_1_SUB,False,20,,7,normal,0.0346455754867444,0.1390438224188983,1.0,0.9375,0.967741935483871,32,0.75,1.0,0.8571428571428571,6,0.912442396313364,models/Event_1_SUB_FR.jsonl.model_epoch_7,2025-05-01T20:32:46+00:00
51,Meeting,evt_meeting,EN,Event_2_SUB,False,20,,8,normal,0.0004603382723871,0.8052303791046143,0.9565217391304348,0.9166666666666666,0.9361702127659576,24,0.7777777777777778,0.875,0.8235294117647058,8,0.8798498122653317,models/Event_2_SUB_EN.jsonl.model_epoch_8,2025-05-01T20:36:55+00:00
51,Meeting,evt_meeting,FR,Event_2_SUB,False,20,,3,normal,0.1978055791308482,0.1078712902963161,1.0,0.9642857142857144,0.9818181818181818,28,0.9166666666666666,1.0,0.9565217391304348,11,0.9691699604743084,models/Event_2_SUB_FR.jsonl.model_epoch_3,2025-05-01T20:39:45+00:00
