model_name,best_epoch,score,macro_f1,weighted_f1,test_loss,train_loss,class_1_precision,class_1_recall,class_1_f1_score,class_1_support,class_0_support,train_class_0_count,train_class_1_count,test_class_0_count,test_class_1_count
Pol_Detection_EN.jsonl,1,3.5300000000000002,0.85,0.86,0.37,0.49,0.73,0.89,0.8,46.0,96.0,869,416,96,46
Event_2_SUB_FR.jsonl,4,3.976,0.97,0.97,0.13,0.16,0.92,1.0,0.96,11.0,28.0,255,100,28,11
Cult_3_SUB_FR.jsonl,7,0.406,0.44,0.71,0.5,0.32,0.0,0.0,0.0,1.0,4.0,41,4,4,1
Event_7_SUB_EN.jsonl,2,0.484,0.49,0.95,0.08,0.04,0.0,0.0,0.0,1.0,32.0,296,2,32,1
Secu_3_SUB_EN.jsonl,1,3.4640000000000004,0.33,0.33,0.73,0.67,0.5,1.0,0.67,1.0,1.0,9,10,1,1
Sci_3_SUB_EN.jsonl,4,0.41400000000000003,0.45,0.72,0.42,0.38,0.0,0.0,0.0,5.0,21.0,194,50,21,5
Eco_4_SUB_FR.jsonl,6,0.41600000000000004,0.45,0.73,0.47,0.41,0.0,0.0,0.0,5.0,22.0,205,48,22,5
Just_1_SUB_FR.jsonl,3,0.386,0.43,0.64,0.56,0.54,0.0,0.0,0.0,2.0,6.0,62,20,6,2
RED_Detection_FR.jsonl,7,3.846,0.76,0.95,0.13,0.09,0.38,1.0,0.55,6.0,150.0,1354,63,150,6
Just_3_SUB_EN.jsonl,4,0.45199999999999996,0.47,0.85,0.3,0.27,0.0,0.0,0.0,1.0,9.0,81,8,9,1
Event_Detection_EN.jsonl,1,0.742,0.52,0.71,0.44,0.51,0.75,0.09,0.16,33.0,109.0,987,298,109,33
Messenger_8_SUB_FR.jsonl,7,2.872,0.89,0.97,0.14,0.04,1.0,0.67,0.8,6.0,75.0,681,55,75,6
Cult_Detection_FR.jsonl,6,3.2020000000000004,0.75,0.96,0.13,0.03,0.4,0.8,0.53,5.0,152.0,1371,45,152,5
